Del Bonita,Montana,3322,US-Canada Border,12/01/2018 12:00:00 AM,Truck Containers Empty,17
St. John,North Dakota,3405,US-Canada Border,12/01/2018 12:00:00 AM,Personal Vehicles,880
Massena,New York,704,US-Canada Border,12/01/2018 12:00:00 AM,Truck Containers Empty,576
Lukeville,Arizona,2602,US-Mexico Border,12/01/2018 12:00:00 AM,Personal Vehicle Passengers,56937
Tecate,California,2505,US-Mexico Border,12/01/2018 12:00:00 AM,Personal Vehicle Passengers,179314
Derby Line,Vermont,209,US-Canada Border,12/01/2018 12:00:00 AM,Buses,62
Warroad,Minnesota,3423,US-Canada Border,12/01/2018 12:00:00 AM,Buses,31
Madawaska,Maine,109,US-Canada Border,12/01/2018 12:00:00 AM,Personal Vehicles,30269
Sherwood,North Dakota,3414,US-Canada Border,12/01/2018 12:00:00 AM,Truck Containers Empty,223
Roosville,Montana,3318,US-Canada Border,12/01/2018 12:00:00 AM,Buses,1
Roosville,Montana,3318,US-Canada Border,12/01/2018 12:00:00 AM,Pedestrians,8
Ferry,Washington,3013,US-Canada Border,12/01/2018 12:00:00 AM,Pedestrians,2
Massena,New York,704,US-Canada Border,12/01/2018 12:00:00 AM,Trucks,1741
Van Buren,Maine,108,US-Canada Border,12/01/2018 12:00:00 AM,Rail Containers Empty,259
Rio Grande City,Texas,2307,US-Mexico Border,12/01/2018 12:00:00 AM,Personal Vehicles,42053
Morgan,Montana,3319,US-Canada Border,12/01/2018 12:00:00 AM,Trucks,15
Santa Teresa,New Mexico,2408,US-Mexico Border,12/01/2018 12:00:00 AM,Personal Vehicles,55125
Del Rio,Texas,2302,US-Mexico Border,12/01/2018 12:00:00 AM,Truck Containers Full,3974
Neche,North Dakota,3404,US-Canada Border,12/01/2018 12:00:00 AM,Truck Containers Full,175
Metaline Falls,Washington,3025,US-Canada Border,12/01/2018 12:00:00 AM,Buses,6
Trout River,New York,715,US-Canada Border,12/01/2018 12:00:00 AM,Trains,55
Progreso,Texas,2309,US-Mexico Border,12/01/2018 12:00:00 AM,Pedestrians,100399
Port Huron,Michigan,3802,US-Canada Border,12/01/2018 12:00:00 AM,Trucks,60359
Buffalo-Niagara Falls,New York,901,US-Canada Border,12/01/2018 12:00:00 AM,Train Passengers,1413
Detroit,Michigan,3801,US-Canada Border,12/01/2018 12:00:00 AM,Rail Containers Empty,3313
Del Bonita,Montana,3322,US-Canada Border,12/01/2018 12:00:00 AM,Personal Vehicles,2334
Laredo,Texas,2304,US-Mexico Border,12/01/2018 12:00:00 AM,Truck Containers Empty,51055
Vanceboro,Maine,105,US-Canada Border,12/01/2018 12:00:00 AM,Trucks,38
Beecher Falls,Vermont,206,US-Canada Border,12/01/2018 12:00:00 AM,Truck Containers Empty,665
Nogales,Arizona,2604,US-Mexico Border,12/01/2018 12:00:00 AM,Truck Containers Full,23934
International Falls-Ranier,Minnesota,3604,US-Canada Border,12/01/2018 12:00:00 AM,Personal Vehicles,26889
Douglas,Arizona,2601,US-Mexico Border,12/01/2018 12:00:00 AM,Trucks,2111
Laredo,Texas,2304,US-Mexico Border,12/01/2018 12:00:00 AM,Personal Vehicle Passengers,1019924
Wildhorse,Montana,3323,US-Canada Border,12/01/2018 12:00:00 AM,Truck Containers Full,82
Fort Kent,Maine,110,US-Canada Border,12/01/2018 12:00:00 AM,Trucks,1142
Carbury,North Dakota,3421,US-Canada Border,12/01/2018 12:00:00 AM,Truck Containers Empty,97
Piegan,Montana,3316,US-Canada Border,12/01/2018 12:00:00 AM,Truck Containers Empty,18
